NOM,Arrondissement
Montcalm,La Cité
Saint-Jean-Baptiste,La Cité
Saint-Roch,La Cité
Saint-Sacrement,La Cité
Saint-Sauveur,La Cité
Vieux-Québec/Cap-Blanc/Colline parlementaire,La Cité
Vieux-Limoilou,Limoilou
Lairet,Limoilou
Maizerets,Limoilou
Notre-Dame-des-Laurentides,Charlesbourg
Jésuites,Charlesbourg
Quartier 4-2,Charlesbourg
Quartier 4-3,Charlesbourg
Quartier 4-5,Charlesbourg
Quartier 4-6,Charlesbourg
Vieux-Moulin,Beauport
Chutes-Montmorency,Beauport
Quartier 5-4,Beauport
Quartier 5-2,Beauport
Quartier 5-1,Beauport
Loretteville,La Haute-Saint-Charles
Lac-Saint-Charles,La Haute-Saint-Charles
Des Châtels,La Haute-Saint-Charles
Saint-Émile,La Haute-Saint-Charles
Val-Bélair,La Haute-Saint-Charles
Cité Universitaire ,Sainte-Foy–Sillery–Cap-Rouge
Plateau,Sainte-Foy–Sillery–Cap-Rouge
Saint-Louis,Sainte-Foy–Sillery–Cap-Rouge
Pointe-de-Sainte-Foy,Sainte-Foy–Sillery–Cap-Rouge
Sillery,Sainte-Foy–Sillery–Cap-Rouge
Cap-Rouge,Sainte-Foy–Sillery–Cap-Rouge
L'Aéroport  ,Sainte-Foy–Sillery–Cap-Rouge
Vanier,Les Rivières
Neufchâtel-Est/Lebourgneuf ,Les Rivières
Duberger-Les Saules,Les Rivières
